player1_age,player1_ranking,player1_points,player1_win_rate,player1_win_rate_3_sets,player1_win_rate_tiebreak,player1_total_matches_dure,player1_win_rate_dure,player1_total_matches_terre battue,player1_win_rate_terre battue,player1_total_matches_gazon,player1_win_rate_gazon,player1_total_matches_salle,player1_win_rate_salle,player1_total_matches_carpet,player1_win_rate_carpet,player1_total_matches_acryl,player1_win_rate_acryl,player1_first_serve_pct,player1_first_serve_won_pct,player1_second_serve_won_pct,player1_return_points_won_pct,player1_break_point_won_pct,player1_double_fautes,player1_aces,player1_avg_first_serve_pct,player1_avg_first_serve_won_pct,player1_avg_second_serve_won_pct,player1_avg_return_points_won_pct,player1_avg_break_point_won_pct,player1_avg_double_fautes,player1_avg_aces,player2_age,player2_ranking,player2_points,player2_win_rate,player2_win_rate_3_sets,player2_win_rate_tiebreak,player2_total_matches_dure,player2_win_rate_dure,player2_total_matches_terre battue,player2_win_rate_terre battue,player2_total_matches_gazon,player2_win_rate_gazon,player2_total_matches_salle,player2_win_rate_salle,player2_total_matches_carpet,player2_win_rate_carpet,player2_total_matches_acryl,player2_win_rate_acryl,player2_first_serve_pct,player2_first_serve_won_pct,player2_second_serve_won_pct,player2_return_points_won_pct,player2_break_point_won_pct,player2_double_fautes,player2_aces,player2_avg_first_serve_pct,player2_avg_first_serve_won_pct,player2_avg_second_serve_won_pct,player2_avg_return_points_won_pct,player2_avg_break_point_won_pct,player2_avg_double_fautes,player2_avg_aces,tournament_category,target,surface_dure,surface_salle,surface_terre_batue,surface_gazon
26,30,1620,0.56,0.45,0.875,7,0.2857142857142857,26,0.6538461538461539,3,0.0,14,0.6428571428571429,0,0,0,0,0.73,0.66,0.46,0.32,0.4,3,1,0.6393983103235112,0.6822429906542056,0.5186033199771036,0.38532883642495785,0.42626728110599077,3.1186440677966103,3.3728813559322033,24,78,715,0.38,0.4090909090909091,0.8,19,0.42105263157894735,19,0.3684210526315789,4,0.25,8,0.375,0,0,0,0,0.73,0.77,0.45,0.4,0.43,2,7,0.5974480860645484,0.6838358458961474,0.4968905472636816,0.36335799948966574,0.4134275618374558,2.7254901960784315,5.235294117647059,3,0,1,0,0,0
22,44,1198,0.5,0.5625,0.6875,9,0.1111111111111111,31,0.6774193548387096,5,0.4,5,0.2,0,0,0,0,0.49,0.53,0.26,0.45,0.43,3,0,0.58195211786372,0.7037183544303798,0.5162355531095212,0.37933474876150036,0.4081081081081081,2.086206896551724,5.172413793103448,23,47,1148,0.5,0.55,0.6,9,0.2222222222222222,33,0.6666666666666666,3,0.0,5,0.2,0,0,0,0,0.7,0.6,0.44,0.61,0.54,0,0,0.6563636363636364,0.6434507320933913,0.47845804988662133,0.41632962588473205,0.42144638403990026,2.28,2.52,1,0,0,0,1,0
28,152,382,0.46,0.4074074074074074,0.5294117647058824,14,0.35714285714285715,27,0.48148148148148145,7,0.5714285714285714,2,0.5,0,0,0,0,0.58,0.62,0.49,0.41,0.4,5,5,0.6118453255017132,0.6896,0.5037831021437579,0.38356818724623837,0.36658354114713215,3.9607843137254903,4.784313725490196,20,170,340,0.54,0.6666666666666666,0.5714285714285714,41,0.6097560975609756,0,0.0,4,0.0,5,0.4,0,0,0,0,0.6,0.68,0.46,0.44,0.42,3,9,0.6150904919704308,0.7277248238707004,0.47086092715231787,0.36898256570387716,0.3952802359882006,2.3703703703703702,8.222222222222221,4,0,1,0,0,0
24,112,548,0.68,0.5263157894736842,0.5714285714285714,8,0.625,36,0.7222222222222222,2,0.5,4,0.5,0,0,0,0,0.54,0.6,0.51,0.44,0.33,3,5,0.572068511198946,0.7319207738369415,0.500615763546798,0.41462793068297654,0.4354066985645933,3.196078431372549,5.294117647058823,25,175,327,0.46,0.4444444444444444,0.4666666666666667,20,0.6,18,0.3333333333333333,3,0.0,9,0.5555555555555556,0,0,0,0,0.45,0.63,0.51,0.44,0.33,2,3,0.591469957081545,0.7024943310657596,0.4766907419566645,0.3806788511749347,0.3783783783783784,2.5098039215686274,4.2745098039215685,3,1,0,0,1,0
24,27,1690,0.52,0.5238095238095238,0.6363636363636364,9,0.3333333333333333,33,0.696969696969697,3,0.0,5,0.0,0,0,0,0,0.8,0.62,0.6,0.34,0.33,0,1,0.7194944093339816,0.6375,0.5121317157712305,0.3959479739869935,0.40554156171284633,1.8867924528301887,2.0943396226415096,28,90,639,0.46,0.4230769230769231,0.5789473684210527,21,0.38095238095238093,10,0.3,2,0.5,17,0.6470588235294118,0,0,0,0,0.56,0.88,0.37,0.39,0.75,2,7,0.6028454304316373,0.7252,0.5166970248937462,0.3568230025925053,0.3504531722054381,2.4038461538461537,6.769230769230769,1,0,1,0,0,0
28,19,2410,0.6,0.5263157894736842,0.8125,20,0.45,12,0.6666666666666666,4,0.25,14,0.8571428571428571,0,0,0,0,0.69,0.82,0.45,0.4,0.6,1,7,0.6426339285714285,0.7426189649183744,0.5252966895690193,0.3705263157894737,0.38726790450928383,1.8644067796610169,6.745762711864407,25,24,1865,0.56,0.5789473684210527,0.5,23,0.6521739130434783,12,0.3333333333333333,8,0.625,7,0.5714285714285714,0,0,0,0,0.69,0.65,0.5,0.29,0.2,2,7,0.6362801377726751,0.7430530494406351,0.5047378395451674,0.3432624113475177,0.38412698412698415,3.1320754716981134,8.88888888888889,1,1,1,0,0,0
38,153,380,0.62,0.6875,0.5454545454545454,12,0.5,27,0.7037037037037037,6,0.8333333333333334,5,0.2,0,0,0,0,0.65,0.72,0.56,0.48,0.58,2,1,0.656934306569343,0.695925925925926,0.5301632363378282,0.4074770750058782,0.44208037825059104,2.7755102040816326,3.7142857142857144,25,70,772,0.54,0.43478260869565216,0.5294117647058824,10,0.4,29,0.5862068965517241,2,0.5,9,0.5555555555555556,0,0,0,0,0.69,0.58,0.39,0.33,0.5,3,0,0.6750258531540848,0.6568364611260054,0.4996022275258552,0.3976872800402212,0.4105263157894737,1.4901960784313726,1.607843137254902,3,1,0,0,1,0
24,112,548,0.68,0.5263157894736842,0.5714285714285714,8,0.625,36,0.7222222222222222,2,0.5,4,0.5,0,0,0,0,0.55,0.69,0.55,0.44,0.31,3,5,0.572068511198946,0.7319207738369415,0.500615763546798,0.41462793068297654,0.4354066985645933,3.196078431372549,5.294117647058823,31,124,488,0.7,0.4117647058823529,0.8888888888888888,1,0.0,47,0.723404255319149,2,0.5,0,0.0,0,0,0,0,0.65,0.55,0.6,0.38,0.57,2,2,0.7087095834547044,0.698314837648993,0.536,0.4127431632365379,0.46131805157593125,1.5384615384615385,2.3653846153846154,2,1,0,0,1,0
27,2,7915,0.76,0.6666666666666666,0.631578947368421,17,0.7647058823529411,11,0.7272727272727273,8,0.75,14,0.7857142857142857,0,0,0,0,0.67,0.82,0.59,0.37,0.4,3,9,0.7057241070094157,0.7653536637018212,0.5418994413407822,0.38388881392524626,0.33117932148626816,2.357142857142857,9.333333333333334,21,13,3025,0.64,0.6538461538461539,0.625,19,0.5789473684210527,17,0.6470588235294118,5,0.6,9,0.7777777777777778,0,0,0,0,0.61,0.72,0.48,0.25,0.33,2,9,0.6032742767436645,0.7308550185873606,0.5483323911814585,0.3463992707383774,0.40192926045016075,2.8392857142857144,6.196428571428571,3,1,0,1,0,0
34,52,1037,0.6,0.6,0.6666666666666666,22,0.6818181818181818,12,0.4166666666666667,10,0.7,6,0.5,0,0,0,0,0.64,0.59,0.52,0.41,0.1,3,5,0.5937427578215527,0.7127244340359095,0.5019965772960638,0.39750723347429334,0.3934782608695652,3.1964285714285716,4.839285714285714,29,80,712,0.54,0.5,0.4166666666666667,9,0.5555555555555556,26,0.5769230769230769,3,0.3333333333333333,12,0.5,0,0,0,0,0.59,0.66,0.49,0.43,0.5,2,5,0.6298554652213189,0.69989243456436,0.46163215590742995,0.3884762547828044,0.4097560975609756,3.9322033898305087,4.406779661016949,2,0,0,1,0,0
